GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Speed (OBD)(mph),Ratio (RPM/mph),5,4,3,2,1
Thu Jan 11 19:07:47 EST 2018,07:46.7,-85.63779218,38.18745414,0,4.5509996,118,0,0.00837708,9.18664551,3.27099609,0.03136274,814,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:48 EST 2018,07:47.7,-85.63779057,38.18745381,0,4.5509996,119,0,-0.16212463,9.42173767,3.30807495,0.03639245,804.25,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:49 EST 2018,07:48.7,-85.63778786,38.18745296,0,4.5509996,120,0,-0.12921143,9.28894043,3.14237976,0.01868588,804.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:50 EST 2018,07:49.7,-85.63778691,38.18745196,0,4.5509996,121,0,0.27876282,9.00360107,3.11485291,0.03375343,810.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:51 EST 2018,07:50.7,-85.63778628,38.18745005,0,4.5509996,122,0,-0.31166077,9.35653687,3.82254028,0.03162367,799.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:52 EST 2018,07:51.7,-85.63778698,38.18745004,0,4.5509996,122,0,-0.09512329,9.2590332,3.23570251,0.03109931,806.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:53 EST 2018,07:52.7,-85.6377887,38.18745101,0,4.5509996,122,0,0.12023926,9.0382843,3.15493774,0.03115864,812.25,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:54 EST 2018,07:53.7,-85.63779091,38.18745315,0,6.068,122,0,-0.37866211,9.47558594,3.74536133,0.05834466,803.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:55 EST 2018,07:54.7,-85.63779246,38.18745499,0,4.5509996,122,0,-0.34217834,9.6341095,3.51686096,0.03302007,803.5,0.62137121,1293.10786703491,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:56 EST 2018,07:55.7,-85.63779523,38.18745274,0.37,4.5509996,122,191.6,-0.31645203,9.47438049,3.2255249,0.03518068,777.75,1.24274242,625.83363010977,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:57 EST 2018,07:56.7,-85.63779765,38.18744515,0.92,4.5509996,122,195.2,-0.41516113,9.61256409,2.72662354,0.03010575,1683,3.72822714,451.420993625405,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:58 EST 2018,07:57.7,-85.63780394,38.1874281,2.09,4.5509996,121,196.3,0.01077271,9.32304382,2.8690033,0.05054169,1144.75,4.97096968,230.287061416959,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:59 EST 2018,07:58.7,-85.63781316,38.18740607,2.3,4.5509996,122,203.2,0.51026917,9.35952759,2.16850281,-0.00026667,1318.25,5.59234095,235.724182732457,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:00 EST 2018,07:59.7,-85.63782765,38.1873819,2.98,4.5509996,122,204.6,0.75553894,8.86660767,2.45982361,0.02495994,1711.25,7.45645428,229.499160826344,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:01 EST 2018,08:00.7,-85.63785413,38.18735409,3.83,4.5509996,120,217.2,1.51226807,8.64347839,1.19641113,0.07577891,1222.75,7.45645428,163.985448590453,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:02 EST 2018,08:01.7,-85.63789515,38.18732944,4.36,4.5509996,121,232.9,0.9684906,9.95294189,2.70748901,0.05956332,1280,9.32056808,137.330685105623,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:03 EST 2018,08:02.7,-85.6379427,38.18731219,3.98,4.5509996,120,242.7,2.22114563,9.9140625,2.40658569,0.04842402,1455.25,11.18468189,130.11098700099,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:04 EST 2018,08:03.7,-85.6380392,38.18736414,5.34,4.5509996,120,289.4,0.10110474,9.46839905,1.37049866,-0.00570899,1749,13.04879475,134.035367519288,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:05 EST 2018,08:04.7,-85.63810614,38.18740501,6.71,4.5509996,120,302.2,-0.53001404,9.75494385,1.54815674,0.03722486,2042.25,16.77702141,121.728997662404,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:06 EST 2018,08:05.7,-85.63818985,38.18744649,8.23,4.5509996,120,303.1,0.06460571,9.27996826,3.68614197,0.04158521,2307.5,18.64113617,123.785373324699,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:07 EST 2018,08:06.7,-85.63827737,38.18749342,9.05,4.5509996,120,304.3,-0.17826843,9.10169983,2.81636047,0.02890276,1600,19.88387871,80.4671977402139,#N/A,#N/A,19.88387871,,
Thu Jan 11 19:08:08 EST 2018,08:07.7,-85.63836619,38.1875401,9.21,4.5509996,120,304.6,-0.45703125,9.31825256,2.92822266,0.00580311,1824.75,21.74799156,83.90429962076,#N/A,#N/A,21.74799156,,
Thu Jan 11 19:08:09 EST 2018,08:08.7,-85.63846348,38.18759221,10.43,4.5509996,119,305,-1.22332764,9.69572449,2.17507935,0.03834844,2080.75,24.23347664,85.8626284173149,#N/A,#N/A,24.23347664,,
Thu Jan 11 19:08:10 EST 2018,08:09.7,-85.63855349,38.18764726,9.96,4.5509996,119,305.4,-0.91764832,9.8979187,2.40238953,0.06146187,2332,27.96170425,83.3997806124425,#N/A,#N/A,27.96170425,,
Thu Jan 11 19:08:11 EST 2018,08:10.7,-85.63869039,38.18772095,13.08,4.5509996,118,304.2,-0.33499146,9.91885376,1.64028931,0.05803443,2579.75,29.82581711,86.4938583404329,#N/A,#N/A,29.82581711,,
Thu Jan 11 19:08:12 EST 2018,08:11.7,-85.63882909,38.18779715,14.39,4.5509996,117,304,-0.4019928,9.40260315,2.95214844,0.02974925,2792.5,33.55404282,83.2239505379519,#N/A,#N/A,33.55404282,,
Thu Jan 11 19:08:13 EST 2018,08:12.7,-85.63897671,38.18787406,15.31,4.5509996,117,303.4,-0.58265686,10.12762451,1.7563324,0.06157805,2349.25,33.55404282,70.0139179234677,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:14 EST 2018,08:13.7,-85.6391221,38.18794956,15.29,4.5509996,117,303.3,-0.3792572,9.94935608,1.41654968,0.0206522,2174.5,34.79678726,62.491401397268,#N/A,34.79678726,#N/A,,
Thu Jan 11 19:08:15 EST 2018,08:14.7,-85.63928018,38.18802829,15.98,4.5509996,117,303,-0.5664978,9.96730042,2.18644714,0.05574606,2278.5,36.03952789,63.2222488306297,#N/A,36.03952789,#N/A,,
Thu Jan 11 19:08:16 EST 2018,08:15.7,-85.63943672,38.18811365,16.79,4.5509996,117,304,-0.50428772,9.51506042,2.09431458,0.01348126,2381.5,37.28227234,63.8775442194519,#N/A,37.28227234,#N/A,,
Thu Jan 11 19:08:17 EST 2018,08:16.7,-85.6396058,38.1882002,17.39,4.5509996,116,303.7,0.27038574,9.96430969,2.49810791,0.04631123,2486,39.14638519,63.5052250146216,#N/A,39.14638519,#N/A,,
Thu Jan 11 19:08:18 EST 2018,08:17.7,-85.63977836,38.18829166,18.12,4.5509996,116,304,-0.59761047,9.43370056,1.88374329,0.0328794,2564,41.01049805,62.5205769721199,#N/A,41.01049805,#N/A,,
Thu Jan 11 19:08:19 EST 2018,08:18.7,-85.63995802,38.18838868,19.01,4.5509996,116,304.3,-0.64068604,9.83509827,3.56231689,0.04142857,2640.5,42.25324249,62.4922454324049,#N/A,42.25324249,#N/A,,
Thu Jan 11 19:08:20 EST 2018,08:19.7,-85.64013846,38.18848365,19.02,4.5509996,117,303.9,-0.35713196,10.60917664,3.79800415,0.06961276,1670.75,41.63187027,40.1315143702287,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:21 EST 2018,08:20.7,-85.64031381,38.18857763,18.95,4.5509996,116,303.8,0.39900208,9.21177673,2.71765137,0.04277358,2012.75,41.63187027,48.3463747111643,#N/A,#N/A,#N/A,,
Thu Jan 11 19:08:22 EST 2018,08:21.7,-85.64050069,38.18866667,18.92,4.5509996,116,301.5,-0.86381531,9.79920959,1.7563324,0.0753119,2089.5,41.01049805,50.9503687922171,41.01049805,#N/A,#N/A,,
Thu Jan 11 19:08:23 EST 2018,08:22.7,-85.6406766,38.18875701,18.7,4.5509996,115,302.2,-0.36550903,10.43391418,3.30628967,0.05375076,2131,41.63187027,51.1867467442509,41.63187027,#N/A,#N/A,,
Thu Jan 11 19:08:24 EST 2018,08:23.7,-85.64085651,38.18885835,18.97,4.5509996,115,303.9,-0.3631134,9.18545532,3.2596283,-0.01169848,2156.5,42.25324249,51.0375032285481,42.25324249,#N/A,#N/A,,
Thu Jan 11 19:08:25 EST 2018,08:24.7,-85.64104221,38.18895885,19.35,4.5509996,115,304.4,-0.9026947,9.92422485,3.03410339,0.08086091,2156.25,42.25324249,51.0315865228643,42.25324249,#N/A,#N/A,,
Thu Jan 11 19:08:26 EST 2018,08:25.7,-85.64121156,38.18905642,18.86,4.5509996,115,305.1,-0.03111267,9.54795837,1.48535156,0.08405241,2164.25,42.25324249,51.2209211047462,42.25324249,#N/A,#N/A,,
Thu Jan 11 19:08:27 EST 2018,08:26.7,-85.64140123,38.18915177,19.19,4.5509996,116,303.7,-0.15493774,9.70828247,3.23269653,0.05168587,2164.25,42.8746109,50.4785922150491,42.8746109,#N/A,#N/A,,
Thu Jan 11 19:08:28 EST 2018,08:27.7,-85.64158825,38.18924735,19.28,4.5509996,116,303.6,-0.54855347,9.20159912,2.83729553,0.05645545,2165.5,42.8746109,50.5077469985856,42.8746109,#N/A,#N/A,,
Thu Jan 11 19:08:29 EST 2018,08:28.7,-85.64177418,38.18934315,19.41,4.5509996,116,303.5,0.94038391,9.05683899,2.91386414,-0.00644344,2167.5,42.8746109,50.5543946522439,42.8746109,#N/A,#N/A,,
Thu Jan 11 19:08:30 EST 2018,08:29.7,-85.64193516,38.189448,18.35,4.5509996,115,305.6,-1.15034485,9.55693054,3.44088745,0.0227895,2176.25,42.8746109,50.7584781369993,42.8746109,#N/A,#N/A,,
Thu Jan 11 19:08:31 EST 2018,08:30.7,-85.64212239,38.18954977,19.4,4.5509996,115,304.2,-0.03469849,9.63110352,2.97906494,0.0548268,2175.25,42.8746109,50.7351543101701,42.8746109,#N/A,#N/A,,
Thu Jan 11 19:08:32 EST 2018,08:31.7,-85.64231198,38.18964555,19.53,4.5509996,116,303.6,-0.68554688,9.81416321,3.58384705,0.04759227,2171.5,42.8746109,50.6476899595607,42.8746109,#N/A,#N/A,,
Thu Jan 11 19:08:33 EST 2018,08:32.7,-85.64249486,38.18974419,19.33,4.5509996,117,303.7,-0.48155212,8.14337158,2.34138489,0.00802484,2120.25,41.63187027,50.9285311048794,41.63187027,#N/A,#N/A,,
Thu Jan 11 19:08:34 EST 2018,08:33.7,-85.64267686,38.18984147,18.87,4.5509996,117,303.9,0.42472839,9.21417236,3.69152832,0.03107652,2074.25,41.01049805,50.5785127864352,41.01049805,#N/A,#N/A,,
Thu Jan 11 19:08:35 EST 2018,08:34.7,-85.6428611,38.1899378,19.23,4.5509996,117,304.2,-0.21356201,9.01196289,2.53579712,0.00719474,2040.75,39.76775742,51.3166980588567,39.76775742,#N/A,#N/A,,
Thu Jan 11 19:08:36 EST 2018,08:35.7,-85.64303855,38.19004179,19.37,4.5509996,118,305.4,-0.18603516,9.13879395,3.55154419,0.04650509,2007.75,39.14638519,51.2882604678626,39.14638519,#N/A,#N/A,,
